,dataset.input_field,training_params.lr,training_params.lr_end,training_params.k,vae_params.dim_z,loss,reg_loss,vel R2
0,,0.0014295822847294204,0.00014295822847294203,192,8,39.10925509478595,0.0,0.9088872669364265
1,,0.0012356731904108926,0.00012356731904108927,192,6,39.44730593707111,0.0,0.8965597123327309
2,,0.0012194427320361316,0.00012194427320361317,128,8,39.119497660044075,0.0,0.9095900447364449
3,,0.0008559387437214723,8.559387437214724e-05,128,16,38.67243287370012,0.0,0.9233528513251974
4,,0.0016526006504516836,0.00016526006504516836,192,5,39.67103844719964,0.0,0.7623990163226256
5,,0.0015318830968462365,0.00015318830968462366,192,5,39.672064703864024,0.0,0.8428371589519285
6,,0.0008868444059941784,8.868444059941785e-05,192,6,39.599032427813555,0.0,0.8885659138260995
7,,0.0016920392568315604,0.00016920392568315604,128,8,39.14643663973422,0.0,0.9059203877874316
8,,0.001113217739889609,0.0001113217739889609,128,5,39.79370075947529,0.0,0.691539091532321
9,,0.0012454728148602661,0.00012454728148602662,192,8,39.16744139387801,0.0,0.9146027394214455
10,,0.0011444465177753089,0.00011444465177753089,128,5,39.828367800325964,0.0,0.7452893843519031
11,,0.0008187170285100789,8.187170285100789e-05,192,16,38.66506535298115,0.0,0.915298370887893
12,,0.0010303747494498847,0.00010303747494498847,128,6,39.53851473009264,0.0,0.8963404573685914
13,,0.001561460786897652,0.00015614607868976523,192,5,39.674949542896165,0.0,0.8770179597490522
14,,0.0017385306916961496,0.00017385306916961499,192,8,39.17859690898174,0.0,0.9143252944696303
15,,0.0008525670107761439,8.525670107761439e-05,192,5,39.7503875526222,0.0,0.818841763629915
16,,0.0010071216591383638,0.00010071216591383639,192,8,39.25713307148701,0.0,0.9016796191267422
17,,0.0010611017960415693,0.00010611017960415693,192,16,38.58537385270402,0.0,0.9200758057999672
18,,0.0009797242592029579,9.79724259202958e-05,192,8,39.24040768597577,0.0,0.9050132063566199
19,,0.0013394763275320874,0.00013394763275320875,128,6,39.46034477852486,0.0,0.8963296900497555
